                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.3334,                 1.7706,                 1.6354,                0.62202,                0.52739,                 0.5763,                 0.4021,                    1.4,                 1.5684,                 1.5751,              0.0006865,              0.0006865,              0.0006865
                     21,                 1.3215,                 1.7769,                 1.6292,                 0.5774,                0.51926,                0.56118,                0.39432,                 1.3998,                 1.5589,                 1.5744,                0.00067,                0.00067,                0.00067
                     22,                 1.2881,                 1.6934,                  1.592,                0.65396,                0.57331,                0.61591,                0.42852,                  1.378,                 1.4845,                 1.5502,              0.0006535,              0.0006535,              0.0006535
                     23,                 1.2932,                  1.708,                 1.5988,                0.63903,                0.57909,                0.61554,                 0.4405,                 1.3413,                 1.4447,                 1.5279,               0.000637,               0.000637,               0.000637
                     24,                 1.2734,                 1.6767,                  1.585,                0.62565,                0.58738,                0.62777,                0.44196,                 1.3473,                 1.4464,                 1.5194,              0.0006205,              0.0006205,              0.0006205
                     25,                  1.289,                 1.6652,                 1.5866,                0.67264,                0.58717,                0.63562,                0.44362,                 1.3255,                 1.4027,                 1.4925,               0.000604,               0.000604,               0.000604
                     26,                 1.2805,                 1.6444,                 1.5718,                0.66045,                0.60159,                0.64773,                0.46498,                 1.3092,                 1.4007,                  1.481,              0.0005875,              0.0005875,              0.0005875
                     27,                 1.2332,                 1.5874,                 1.5385,                0.67876,                0.60861,                0.66514,                0.47428,                 1.2809,                 1.3361,                 1.4558,               0.000571,               0.000571,               0.000571
                     28,                 1.2397,                 1.5922,                  1.545,                0.67844,                0.61511,                0.66733,                0.47765,                 1.2829,                 1.3347,                 1.4628,              0.0005545,              0.0005545,              0.0005545
                     29,                 1.2419,                 1.5934,                 1.5519,                0.63057,                 0.6152,                0.66184,                0.47559,                 1.2805,                 1.3337,                 1.4599,               0.000538,               0.000538,               0.000538
                     30,                 1.2102,                 1.5331,                 1.5265,                0.69551,                0.62168,                0.68675,                0.49663,                 1.2641,                 1.2965,                 1.4462,              0.0005215,              0.0005215,              0.0005215
                     31,                 1.2021,                 1.5141,                 1.5158,                 0.6941,                 0.6469,                0.70234,                0.50542,                 1.2505,                 1.2771,                 1.4431,               0.000505,               0.000505,               0.000505
                     32,                 1.1823,                 1.4958,                 1.5057,                0.67205,                 0.6501,                0.70126,                0.50598,                 1.2452,                 1.2495,                 1.4306,              0.0004885,              0.0004885,              0.0004885
                     33,                  1.183,                 1.4762,                 1.5036,                0.70955,                 0.6401,                0.71312,                0.52113,                 1.2193,                 1.2545,                 1.4101,               0.000472,               0.000472,               0.000472
                     34,                 1.1959,                 1.4835,                 1.5095,                0.72022,                0.64671,                0.71262,                0.51627,                  1.217,                 1.2465,                 1.4052,              0.0004555,              0.0004555,              0.0004555
                     35,                 1.1834,                  1.454,                 1.5003,                 0.7174,                0.66826,                0.72668,                0.53632,                 1.1964,                 1.1949,                 1.3949,               0.000439,               0.000439,               0.000439
                     36,                  1.156,                 1.4472,                 1.4827,                0.71708,                0.67657,                0.73555,                0.54207,                 1.1859,                 1.1721,                 1.3874,              0.0004225,              0.0004225,              0.0004225
                     37,                 1.1687,                 1.4251,                 1.4793,                0.70969,                0.67707,                0.72448,                0.53452,                  1.186,                 1.1694,                 1.3888,               0.000406,               0.000406,               0.000406
                     38,                 1.1554,                 1.4243,                 1.4735,                0.73822,                  0.663,                0.74278,                0.54848,                 1.1688,                 1.1515,                 1.3693,              0.0003895,              0.0003895,              0.0003895
                     39,                 1.1307,                 1.4017,                 1.4547,                0.74381,                 0.6919,                0.75703,                 0.5596,                 1.1633,                 1.1461,                 1.3628,               0.000373,               0.000373,               0.000373
                     40,                 1.1376,                 1.3926,                 1.4588,                0.72718,                0.69009,                0.75708,                0.55951,                 1.1435,                 1.1203,                 1.3549,              0.0003565,              0.0003565,              0.0003565
                     41,                 1.1424,                 1.3819,                 1.4612,                0.73614,                0.70075,                0.76101,                0.56436,                 1.1407,                  1.106,                 1.3492,                0.00034,                0.00034,                0.00034
                     42,                 1.1241,                 1.3349,                 1.4519,                0.75477,                0.69285,                0.76966,                0.57444,                 1.1335,                 1.0856,                 1.3395,              0.0003235,              0.0003235,              0.0003235
                     43,                 1.1173,                 1.3492,                 1.4486,                0.75041,                0.70425,                0.77322,                0.57733,                 1.1175,                 1.0748,                 1.3337,               0.000307,               0.000307,               0.000307
                     44,                 1.1087,                 1.3391,                 1.4322,                0.76268,                0.70935,                0.78495,                0.59117,                 1.1056,                 1.0536,                  1.319,              0.0002905,              0.0002905,              0.0002905
                     45,                 1.1151,                 1.3202,                 1.4419,                0.76767,                0.70844,                0.78577,                0.58848,                 1.1105,                 1.0602,                 1.3237,               0.000274,               0.000274,               0.000274
                     46,                 1.1129,                 1.3069,                 1.4327,                0.77072,                0.72965,                0.79926,                0.60424,                 1.0938,                 1.0278,                 1.3088,              0.0002575,              0.0002575,              0.0002575
                     47,                 1.0952,                  1.291,                  1.423,                0.76906,                0.73282,                0.80351,                0.60639,                 1.0883,                 1.0284,                 1.3069,               0.000241,               0.000241,               0.000241
                     48,                 1.0836,                  1.279,                 1.4174,                0.79529,                0.71411,                0.80361,                0.60807,                 1.0784,                 1.0249,                  1.296,              0.0002245,              0.0002245,              0.0002245
                     49,                 1.0754,                  1.269,                 1.4121,                0.77366,                0.74102,                0.81009,                0.61548,                 1.0759,                0.99172,                  1.294,               0.000208,               0.000208,               0.000208
                     50,                 1.0791,                 1.2656,                 1.4004,                0.79897,                 0.7298,                0.81137,                0.62052,                 1.0716,                0.99954,                 1.2886,              0.0001915,              0.0001915,              0.0001915
                     51,                 1.0404,                 1.1065,                 1.3721,                0.80247,                0.72592,                0.81807,                 0.6245,                 1.0641,                0.98292,                 1.2825,               0.000175,               0.000175,               0.000175
                     52,                 1.0088,                 1.0292,                 1.3509,                0.79975,                0.75059,                 0.8265,                0.63078,                 1.0526,                 0.9623,                 1.2723,              0.0001585,              0.0001585,              0.0001585
                     53,                 1.0068,                 1.0287,                 1.3387,                0.80298,                0.75279,                0.83127,                0.63879,                 1.0439,                0.95437,                 1.2659,               0.000142,               0.000142,               0.000142
                     54,                 0.9922,                 1.0111,                  1.332,                 0.7933,                0.77615,                0.83854,                0.64608,                 1.0293,                0.93138,                 1.2594,              0.0001255,              0.0001255,              0.0001255
                     55,                0.98846,                0.99576,                 1.3211,                0.81191,                 0.7626,                0.84018,                 0.6473,                 1.0264,                0.92928,                 1.2545,               0.000109,               0.000109,               0.000109
                     56,                0.97475,                0.96399,                 1.3168,                0.81538,                0.76929,                0.84972,                0.65667,                 1.0216,                0.91226,                  1.247,               9.25e-05,               9.25e-05,               9.25e-05
                     57,                0.97071,                0.96294,                 1.3101,                 0.8149,                 0.7687,                0.84725,                0.65627,                  1.019,                0.90952,                 1.2458,                7.6e-05,                7.6e-05,                7.6e-05
                     58,                0.96338,                0.94604,                 1.2983,                0.81998,                 0.7777,                 0.8544,                0.66229,                 1.0111,                0.90008,                 1.2389,               5.95e-05,               5.95e-05,               5.95e-05
                     59,                0.94738,                0.93009,                 1.2873,                0.81877,                0.77923,                0.85528,                0.66544,                 1.0127,                0.89188,                 1.2396,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                0.94641,                0.93684,                 1.2863,                0.83692,                0.77224,                0.85703,                0.66625,                 1.0084,                0.88973,                 1.2367,               2.65e-05,               2.65e-05,               2.65e-05
