                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3473,                 4.2572,                 3.9466,                0.00711,                0.06091,                0.00487,                0.00151,                 3.0781,                 5.3909,                 3.2896,             0.00033289,             0.00033289,             0.00033289
                      2,                 2.6815,                 3.6442,                  3.073,                0.24428,                0.08245,                0.04122,                0.01604,                  2.619,                  4.433,                 2.8129,             0.00065523,             0.00065523,             0.00065523
                      3,                 2.2017,                 3.2219,                 2.5636,                0.44107,                0.10293,                0.08096,                 0.0435,                 2.3334,                 3.5974,                 2.5074,             0.00096657,             0.00096657,             0.00096657
                      4,                 1.9516,                 2.9288,                 2.3269,                0.18734,                0.16406,                0.13648,                0.08377,                 2.1935,                 3.3445,                 2.3504,              0.0009505,              0.0009505,              0.0009505
                      5,                 1.8461,                 2.7477,                 2.1878,                0.53685,                0.19682,                0.18829,                0.10751,                 2.1615,                 3.1878,                 2.3045,               0.000934,               0.000934,               0.000934
                      6,                 1.7661,                 2.6193,                 2.0781,                0.32847,                0.26407,                0.23144,                0.14656,                 1.9732,                 2.6775,                 2.1031,              0.0009175,              0.0009175,              0.0009175
                      7,                 1.6849,                 2.5073,                 2.0061,                0.46305,                0.24584,                0.25696,                 0.1665,                 1.9059,                 2.6439,                 2.0479,               0.000901,               0.000901,               0.000901
                      8,                 1.6452,                 2.4198,                 1.9623,                0.37097,                0.34493,                0.29062,                0.19361,                 1.8003,                 2.8407,                 1.9422,              0.0008845,              0.0008845,              0.0008845
                      9,                 1.6083,                  2.342,                 1.9144,                0.39566,                0.34733,                0.34676,                0.22129,                 1.7901,                 2.2283,                 1.9357,               0.000868,               0.000868,               0.000868
                     10,                  1.564,                 2.2614,                 1.8758,                0.37221,                0.39714,                0.35884,                0.23012,                 1.7554,                 2.3076,                 1.9389,              0.0008515,              0.0008515,              0.0008515
                     11,                 1.5277,                 2.2019,                  1.837,                0.46639,                0.41691,                0.40262,                0.26615,                 1.6843,                 2.0666,                 1.8247,               0.000835,               0.000835,               0.000835
                     12,                 1.4916,                 2.0963,                 1.8008,                0.48805,                0.45226,                0.44322,                0.29026,                 1.6725,                 1.9703,                 1.8356,              0.0008185,              0.0008185,              0.0008185
                     13,                 1.4676,                 2.0909,                 1.7868,                0.51218,                0.43568,                0.43437,                0.28774,                 1.6171,                 1.9878,                 1.7739,               0.000802,               0.000802,               0.000802
                     14,                 1.4494,                 2.0122,                 1.7489,                0.54198,                0.47857,                0.49523,                0.32752,                 1.5738,                 1.9069,                 1.7151,              0.0007855,              0.0007855,              0.0007855
                     15,                 1.4167,                  1.941,                 1.7293,                 0.5744,                0.48559,                0.50377,                0.33253,                 1.5701,                 1.8205,                 1.7191,               0.000769,               0.000769,               0.000769
                     16,                 1.4215,                 1.9254,                 1.7117,                0.53612,                0.49852,                0.50528,                0.33265,                 1.5392,                 1.7605,                 1.6906,              0.0007525,              0.0007525,              0.0007525
                     17,                 1.3732,                 1.8812,                 1.6792,                0.55719,                 0.5148,                0.52675,                0.36899,                 1.4744,                 1.7066,                  1.646,               0.000736,               0.000736,               0.000736
                     18,                 1.3545,                 1.8534,                 1.6725,                0.63834,                0.49564,                0.55467,                0.38294,                 1.4565,                 1.6135,                 1.6314,              0.0007195,              0.0007195,              0.0007195
                     19,                 1.3501,                  1.813,                 1.6469,                0.62191,                0.53028,                0.55796,                 0.3895,                 1.4583,                 1.6172,                 1.6212,               0.000703,               0.000703,               0.000703
