                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6367,                 5.4124,                 4.3609,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1591,                      0,                      0,                      0
                      2,                 3.1876,                 5.5888,                   4.23,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1592,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.2398,                 5.8115,                 4.4611,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1587,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.2698,                 5.4971,                 4.2262,                      0,                      0,                      0,                      0,                 3.3798,                 5.3217,                 4.1592,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.8112,                 5.6668,                 4.3324,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1591,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.8864,                 5.5453,                 4.3744,                      0,                      0,                      0,                      0,                 3.3803,                   5.32,                 4.1593,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.6322,                 5.7359,                 4.2555,                      0,                      0,                      0,                      0,                   3.38,                 5.3205,                 4.1594,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.3808,                 5.5235,                 4.1807,                      0,                      0,                      0,                      0,                 3.3804,                 5.3183,                 4.1596,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.0341,                 5.4994,                 4.5641,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1595,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.2761,                  5.517,                 4.5098,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1596,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 3.1474,                 5.6165,                 4.2772,                      0,                      0,                      0,                      0,                 3.3803,                 5.3196,                 4.1597,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.0551,                 5.5676,                 4.2809,                      0,                      0,                      0,                      0,                 3.3797,                 5.3212,                 4.1598,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.3196,                 5.4461,                 4.2026,                      0,                      0,                      0,                      0,                 3.3804,                 5.3189,                 4.1598,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.8253,                 5.7232,                 4.2768,                      0,                      0,                      0,                      0,                 3.3807,                 5.3185,                 4.1596,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.3161,                 5.4186,                 4.2521,                      0,                      0,                      0,                      0,                 3.3801,                 5.3209,                 4.1601,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.2911,                 5.5231,                 4.3075,                      0,                      0,                      0,                      0,                 3.3796,                 5.3173,                 4.1599,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.0695,                  5.464,                 4.4157,                      0,                      0,                      0,                      0,                 3.3795,                 5.3174,                 4.1599,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.9301,                 5.7851,                 4.2863,                      0,                      0,                      0,                      0,                 3.3795,                 5.3174,                 4.1599,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.7479,                 5.5683,                 4.2838,                      0,                      0,                      0,                      0,                 3.3784,                 5.3172,                 4.1602,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.8881,                 5.7515,                 4.3307,                      0,                      0,                      0,                      0,                 3.3784,                 5.3172,                 4.1602,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.0927,                 5.5402,                 4.2605,                      0,                      0,                      0,                      0,                 3.3791,                  5.317,                 4.1604,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 3.0159,                 5.6022,                 4.2325,                      0,                      0,                      0,                      0,                 3.3791,                  5.317,                 4.1604,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 3.0226,                 5.5027,                 4.4174,                      0,                      0,                      0,                      0,                 3.3806,                 5.3194,                 4.1606,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 3.2575,                 5.5036,                 4.2096,                      0,                      0,                      0,                      0,                 3.3806,                 5.3194,                 4.1606,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 3.0196,                 5.6273,                 4.2589,                      0,                      0,                      0,                      0,                 3.3812,                 5.3186,                 4.1606,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 3.3103,                  5.661,                 4.2412,                      0,                      0,                      0,                      0,                 3.3812,                 5.3186,                 4.1606,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 2.7813,                 5.4403,                 4.2665,                      0,                      0,                      0,                      0,                 3.3823,                 5.3199,                  4.161,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 3.0509,                 5.7251,                 4.2627,                      0,                      0,                      0,                      0,                 3.3823,                 5.3199,                  4.161,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 3.4678,                 5.6308,                 4.4456,                      0,                      0,                      0,                      0,                 3.3815,                  5.318,                 4.1611,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 3.4341,                  5.562,                 4.2802,                      0,                      0,                      0,                      0,                 3.3815,                  5.318,                 4.1611,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 3.5457,                 5.6063,                 4.2213,                      0,                      0,                      0,                      0,                 3.3811,                 5.3155,                 4.1615,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.8086,                 5.4599,                 4.2346,                      0,                      0,                      0,                      0,                 3.3811,                 5.3155,                 4.1615,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 3.2157,                 5.5663,                 4.3749,                      0,                      0,                      0,                      0,                 3.3815,                 5.3144,                 4.1612,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 3.4339,                 5.3693,                 4.2975,                      0,                      0,                      0,                      0,                 3.3815,                 5.3144,                 4.1612,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 3.2397,                  5.631,                  4.282,                      0,                      0,                      0,                      0,                 3.3811,                 5.3152,                 4.1617,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.5688,                 5.4332,                 4.2159,                      0,                      0,                      0,                      0,                 3.3811,                 5.3152,                 4.1617,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.9636,                 5.4561,                 4.3902,                      0,                      0,                      0,                      0,                 3.3809,                 5.3179,                 4.1618,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                  2.934,                 5.5673,                  4.256,                      0,                      0,                      0,                      0,                 3.3809,                 5.3179,                 4.1618,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.1799,                 5.5201,                  4.311,                      0,                      0,                      0,                      0,                 3.3805,                 5.3179,                 4.1618,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                  2.762,                 5.4606,                 4.2548,                      0,                      0,                      0,                      0,                 3.3805,                 5.3179,                 4.1618,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.0981,                 5.5438,                 4.2571,                      0,                      0,                      0,                      0,                 3.3809,                 5.3172,                 4.1623,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.4617,                 5.5072,                 4.3742,                      0,                      0,                      0,                      0,                 3.3809,                 5.3172,                 4.1623,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.0397,                 5.4154,                 4.2541,                      0,                      0,                      0,                      0,                 3.3806,                 5.3145,                 4.1628,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.9083,                 5.3388,                 4.3391,                      0,                      0,                      0,                      0,                 3.3806,                 5.3145,                 4.1628,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                  2.887,                 5.3933,                 4.2324,                      0,                      0,                      0,                      0,                 3.3801,                 5.3137,                 4.1629,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                  3.269,                 5.5173,                 4.2621,                      0,                      0,                      0,                      0,                 3.3801,                 5.3137,                 4.1629,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                  3.209,                 5.8023,                 4.2648,                      0,                      0,                      0,                      0,                 3.3801,                 5.3144,                  4.163,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 3.1852,                 5.6027,                 4.2593,                      0,                      0,                      0,                      0,                 3.3801,                 5.3144,                  4.163,             2.9906e-05,             2.9906e-05,             2.9906e-05
