                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1788,                 4.6796,                 3.9905,                0.68972,                0.10614,                0.01811,                0.00497,                  2.956,                 7.6827,                 3.7887,             0.00033215,             0.00033215,             0.00033215
                      2,                 2.7402,                  4.277,                 3.3204,                0.53673,                0.03682,                0.01791,                0.00569,                 2.6231,                  4.614,                 3.1711,             0.00044587,             0.00044587,             0.00044587
                      3,                 2.3069,                 3.8218,                 2.8564,                0.30298,                0.10825,                0.07295,                0.03649,                 2.2487,                 4.2432,                 2.8173,              0.0003396,              0.0003396,              0.0003396
